Results K-fold
492) accuracy: 71.43
493) accuracy: 78.57
494) accuracy: 60.71
495) accuracy: 82.14
496) accuracy: 82.14
497) accuracy: 67.86
498) accuracy: 75.0
499) accuracy: 82.14
500) accuracy: 82.14
501) accuracy: 60.71
502) accuracy: 82.14
503) accuracy: 75.0
504) accuracy: 78.57
505) accuracy: 82.14
506) accuracy: 85.71
507) accuracy: 78.57
508) accuracy: 67.86
509) accuracy: 85.71
510) accuracy: 75.0
511) accuracy: 82.14
512) accuracy: 71.43
513) accuracy: 78.57
514) accuracy: 67.86
515) accuracy: 71.43
516) accuracy: 75.0
517) accuracy: 78.57
518) accuracy: 78.57
519) accuracy: 71.43
520) accuracy: 75.0
521) accuracy: 57.14
522) accuracy: 71.43
523) accuracy: 67.86
524) accuracy: 75.0
525) accuracy: 71.43
526) accuracy: 92.86
527) accuracy: 85.71
528) accuracy: 71.43
529) accuracy: 85.71
530) accuracy: 89.29
531) accuracy: 71.43
532) accuracy: 71.43
533) accuracy: 71.43
534) accuracy: 75.0
535) accuracy: 75.0
536) accuracy: 78.57
537) accuracy: 85.71
538) accuracy: 71.43
539) accuracy: 78.57
540) accuracy: 71.43
541) accuracy: 85.71
542) accuracy: 85.71
543) accuracy: 85.71
544) accuracy: 75.0
545) accuracy: 71.43
546) accuracy: 89.29
547) accuracy: 78.57
548) accuracy: 67.86
549) accuracy: 64.29
550) accuracy: 75.0
551) accuracy: 78.57
552) accuracy: 82.14
553) accuracy: 75.0
554) accuracy: 71.43
555) accuracy: 82.14
556) accuracy: 78.57
557) accuracy: 78.57
558) accuracy: 67.86
559) accuracy: 78.57
560) accuracy: 75.0
561) accuracy: 71.43
562) accuracy: 71.43
563) accuracy: 75.0
564) accuracy: 82.14
565) accuracy: 71.43
566) accuracy: 85.71
567) accuracy: 82.14
568) accuracy: 82.14
569) accuracy: 78.57
570) accuracy: 75.0
571) accuracy: 71.43
572) accuracy: 75.0
573) accuracy: 60.71
574) accuracy: 75.0
575) accuracy: 78.57
576) accuracy: 78.57
577) accuracy: 85.71
578) accuracy: 85.71
579) accuracy: 75.0
580) accuracy: 78.57
581) accuracy: 64.29
582) accuracy: 71.43
583) accuracy: 85.71
584) accuracy: 78.57
585) accuracy: 71.43
586) accuracy: 78.57
587) accuracy: 71.43
588) accuracy: 82.14
589) accuracy: 75.0
590) accuracy: 75.0
591) accuracy: 67.86
592) accuracy: 85.71
593) accuracy: 78.57
594) accuracy: 78.57
595) accuracy: 89.29
596) accuracy: 82.14
597) accuracy: 64.29
598) accuracy: 75.0
599) accuracy: 75.0
600) accuracy: 85.71
601) accuracy: 89.29
602) accuracy: 75.0
603) accuracy: 85.71
604) accuracy: 75.0
605) accuracy: 75.0
606) accuracy: 89.29
607) accuracy: 71.43
608) accuracy: 64.29
609) accuracy: 71.43
610) accuracy: 60.71
611) accuracy: 82.14
612) accuracy: 78.57
613) accuracy: 82.14
614) accuracy: 78.57
615) accuracy: 75.0
616) accuracy: 78.57
617) accuracy: 64.29
618) accuracy: 82.14
619) accuracy: 71.43
620) accuracy: 82.14
621) accuracy: 75.0
622) accuracy: 75.0
623) accuracy: 75.0
624) accuracy: 82.14
625) accuracy: 75.0
626) accuracy: 75.0
627) accuracy: 82.14
628) accuracy: 82.14
629) accuracy: 78.57
630) accuracy: 75.0
631) accuracy: 75.0
632) accuracy: 89.29
633) accuracy: 82.14
634) accuracy: 67.86
635) accuracy: 85.71
636) accuracy: 78.57
637) accuracy: 78.57
638) accuracy: 75.0
639) accuracy: 75.0
640) accuracy: 75.0
641) accuracy: 85.71
642) accuracy: 78.57
643) accuracy: 82.14
644) accuracy: 67.86
645) accuracy: 85.71
646) accuracy: 89.29
647) accuracy: 75.0
648) accuracy: 60.71
649) accuracy: 71.43
650) accuracy: 71.43
651) accuracy: 82.14
652) accuracy: 75.0
653) accuracy: 78.57
654) accuracy: 78.57
655) accuracy: 89.29
656) accuracy: 67.86
657) accuracy: 82.14
658) accuracy: 64.29
659) accuracy: 75.0
660) accuracy: 71.43
661) accuracy: 78.57
662) accuracy: 78.57
663) accuracy: 75.0
664) accuracy: 71.43
665) accuracy: 75.0
666) accuracy: 75.0
667) accuracy: 82.14
668) accuracy: 78.57
669) accuracy: 78.57
